CM_PACKET_NUM,PACKET_STATUS,DOC_ID,DOC_STATUS,DOC_TYPE_CODE,DOC_TYPE_EM,DOC_TYPE_DESCRIPTION,EVENT_NOTES,LAST_UPDTED_DATE,BATCH_ID,DOC_CLASSIFICATION_CODE,,,,,,,
538622,OFF RAMPED,2443846,OFFRAMPED,530,530,VA 21-530 Application for Burial Benefits,NULL,10/26/2020 11:32:59 PM,215,NULL,,,,,,,
538624,PROCESSED,2443836,PROCESSED,EVD-COR,EVD-COR,Correspondence,NULL,10/26/2020 10:52:40 PM,215,FOIA_PRIVACYACT,,,,,,,
538624,PROCESSED,2443839,PROCESSED,PMR,Evidence Mail,Medical Treatment Record - Non-Government Facility,"Outcome: Successfully Added Unsolicited Evidence, Added Note",10/26/2020 10:52:40 PM,215,NULL,,,,,,,
538629,REVIEWED,2443741,VBOTPROCESSING,RM,Returned Mail,Returned Mail,NULL,10/27/2020 1:36:54 AM,215,RM-NOTIFICATION,,,,,,,
538636,REVIEWED,2444084,HIL_VBMS,EVD-TPC,EVD-TPC,Third Party Correspondence,Outcome : Veteran/Claimant Issue - Failed to find Veteran Profile,10/26/2020 7:38:03 PM,215,VERIFICATION_REQUEST,,,,,,,
538638,OFF RAMPED,2444836,OFFRAMPED,EVD-EVR,Evidence Mail,Eligibility Verification Report,Outcome : Veteran/Claimant Issue - No Open Claim/EP and all documents are not RFA Eligible Documents Type,10/26/2020 11:13:21 PM,215,NULL,,,,,,,
538641,PROCESSED,2444735,PROCESSED,686c,686c,VA 21-686c Declaration of Status of Dependents,"Outcome : Contentions Added, Successfully Added Unsolicited Evidence, Added Note",10/26/2020 11:36:09 PM,215,NULL,,,,,,,
538650,PROCESSED,2443612,PROCESSED,RM,Returned Mail,Returned Mail,NULL,10/27/2020 2:44:03 AM,215,RM-NONESSENTIAL,,,,,,,
538653,OFF RAMPED,2443620,OFFRAMPED,EVD-COR,EVD-COR,Correspondence,NULL,10/26/2020 10:12:04 PM,215,UNKNOWN,,,,,,,
538657,OFF RAMPED,2444597,OFFRAMPED,EVD-COR,EVD-COR,Correspondence,NULL,10/26/2020 11:24:08 PM,215,UNKNOWN,,,,,,,
538658,OFF RAMPED,2443754,OFFRAMPED,EVD-TPC,EVD-TPC,Third Party Correspondence,NULL,10/26/2020 10:13:47 PM,215,UNKNOWN,,,,,,,
538660,PROCESSED,2446283,PROCESSED,OMPF,Evidence Mail,"Certificate of Release or Discharge From Active Duty (e.g. DD 214, NOAA 56-16, PHS 1867)",NULL,10/27/2020 12:58:44 AM,215,NULL,,,,,,,
538660,PROCESSED,2446297,PROCESSED,EVD-DC,Evidence Mail,Death Certificate,NULL,10/27/2020 12:58:44 AM,215,UNKNOWN,,,,,,,
538660,PROCESSED,2446298,PROCESSED,EVD-FBE,Evidence Mail,Funeral Bill/Expenses,NULL,10/27/2020 12:58:44 AM,215,NULL,,,,,,,
538660,PROCESSED,2446315,PROCESSED,530,530,VA 21-530 Application for Burial Benefits,NULL,10/27/2020 12:58:44 AM,215,NULL,,,,,,,
538661,PROCESSED,2443626,PROCESSED,674,674,VA 21-674 Report of School Attendance,"Outcome : Claim Successfully Created, Contentions Added, Successfully Added Unsolicited Evidence, Added Note",10/26/2020 11:11:29 PM,215,NULL,,,,,,,
538664,OFF RAMPED,2444832,OFFRAMPED,EVD-COR,EVD-COR,Correspondence,NULL,10/27/2020 12:06:41 AM,215,UNKNOWN,,,,,,,
538664,OFF RAMPED,2444834,OFFRAMPED,PMR,Evidence Mail,Medical Treatment Record - Non-Government Facility,Outcome : Veteran/Claimant Issue - No Open Claim/EP and all documents are not RFA Eligible Documents Type,10/27/2020 12:06:41 AM,215,NULL,,,,,,,
538665,PROCESSED,2443787,PROCESSED,RM,Returned Mail,Returned Mail,NULL,10/27/2020 12:39:54 AM,215,RM-NOTIFICATION,,,,,,,
538672,OFF RAMPED,2445831,OFFRAMPED,EVD-21-4502,Evidence Mail,VA 21-4502 Application for Automobile or Other Con  ,Outcome : Veteran/Claimant Issue - No Open Claim/EP and all documents are not RFA Eligible Documents Type,10/26/2020 11:54:37 PM,215,NULL,,,,,,,
538673,OFF RAMPED,2445024,OFFRAMPED,EVD-21-4502,Evidence Mail,VA 21-4502 Application for Automobile or Other Con  ,Outcome : Veteran/Claimant Issue - No Open Claim/EP and all documents are not RFA Eligible Documents Type,10/26/2020 11:22:43 PM,215,NULL,,,,,,,
538677,PROCESSED,2446385,PROCESSED,OMPF,Evidence Mail,"Certificate of Release or Discharge From Active Duty (e.g. DD 214, NOAA 56-16, PHS 1867)",NULL,10/27/2020 1:02:54 AM,215,NULL,,,,,,,
538677,PROCESSED,2446387,PROCESSED,EVD-DC,Evidence Mail,Death Certificate,NULL,10/27/2020 1:02:54 AM,215,NATURAL,,,,,,,
538677,PROCESSED,2446390,PROCESSED,EVD-FBE,Evidence Mail,Funeral Bill/Expenses,NULL,10/27/2020 1:02:54 AM,215,NULL,,,,,,,
538677,PROCESSED,2446391,PROCESSED,530,530,VA 21-530 Application for Burial Benefits,NULL,10/27/2020 1:02:54 AM,215,NULL,,,,,,,
538678,PARTIALLY PROCESSING,2447190,OCRSUCCESS,OMPF,Evidence Mail,"Certificate of Release or Discharge From Active Duty (e.g. DD 214, NOAA 56-16, PHS 1867)",NULL,10/26/2020 10:02:41 PM,215,NULL,,,,,,,
538678,PARTIALLY PROCESSING,2447204,OCRSUCCESS,EVD-COR,EVD-COR,Correspondence,NULL,10/26/2020 10:02:41 PM,215,UNKNOWN,,,,,,,
538678,PARTIALLY PROCESSING,2447206,OCRSUCCESS,EVD-FAXCS,Evidence Mail,Fax Cover Sheet,NULL,10/26/2020 10:02:41 PM,215,NULL,,,,,,,
538678,PARTIALLY PROCESSING,2447207,OCRSUCCESS,PMR,Evidence Mail,Medical Treatment Record - Government Facility,NULL,10/26/2020 10:02:41 PM,215,NULL,,,,,,,
538678,PARTIALLY PROCESSING,2447208,OCRSUCCESS,OMPF,Evidence Mail,Military Personnel Record,NULL,10/26/2020 10:02:41 PM,215,NULL,,,,,,,
538678,PARTIALLY PROCESSING,2447233,OCRSUCCESS,EVD-TPC,EVD-TPC,Third Party Correspondence,NULL,10/26/2020 10:02:41 PM,215,UNKNOWN,,,,,,,
538678,PARTIALLY PROCESSING,2447235,READYFOROCR,Oct-45,Evidence Mail,VA 10-5345 Request For and Authorization to Releas,NULL,10/26/2020 10:02:41 PM,215,NULL,,,,,,,
538679,PARTIALLY PROCESSED,2446334,OCRSUCCESS,EVD-COR,EVD-COR,Correspondence,NULL,10/27/2020 3:05:05 AM,215,BVA_APPEALS_REMAND,,,,,,,
538679,PARTIALLY PROCESSED,2446343,OCRSUCCESS,EVD-DC,Evidence Mail,Death Certificate,NULL,10/27/2020 3:05:05 AM,215,UNKNOWN,,,,,,,
538679,PARTIALLY PROCESSED,2446346,OCRSUCCESS,EVD-FBE,Evidence Mail,Funeral Bill/Expenses,NULL,10/27/2020 3:05:05 AM,215,NULL,,,,,,,
538679,PARTIALLY PROCESSED,2446347,OCRSUCCESS,EVD-MCL,Evidence Mail,Marriage Certificate/License,NULL,10/27/2020 3:05:05 AM,215,NULL,,,,,,,
538679,PARTIALLY PROCESSED,2446348,OCRSUCCESS,PMR,Evidence Mail,Medical Treatment Record - Non-Government Facility,NULL,10/27/2020 3:05:05 AM,215,NULL,,,,,,,
538679,PARTIALLY PROCESSED,2446352,PROCESSED,21-22,21-22,VA 21-22 Appointment of Veterans Serv. Org. as Claimant's Representative,NULL,10/27/2020 3:05:05 AM,215,NULL,,,,,,,
538679,PARTIALLY PROCESSED,2446362,OCRSUCCESS,530,530,VA 21-530 Application for Burial Benefits,NULL,10/27/2020 3:05:05 AM,215,NULL,,,,,,,
538679,PARTIALLY PROCESSED,2446367,READYFOROCR,534EZ,Evidence Mail,VA 21-534EZ Application for Dependency and Indemni,NULL,10/27/2020 3:05:05 AM,215,NULL,,,,,,,
538682,PROCESSED,2445225,PROCESSED,530,530,VA 21-530 Application for Burial Benefits,NULL,10/26/2020 11:59:00 PM,215,NULL,,,,,,,
538685,REVIEWED,2445696,VBOTPROCESSING,EVD-DC,Evidence Mail,Death Certificate,NULL,10/26/2020 8:35:47 PM,215,NATURAL,,,,,,,
538687,OFF RAMPED,2447286,OCRSUCCESS,EVD-BC,Evidence Mail,Birth Certificate,NULL,10/26/2020 9:59:35 PM,215,NULL,,,,,,,
538689,PROCESSED,2444637,PROCESSED,EVD-TPC,EVD-TPC,Third Party Correspondence,"Outcome: Added Special Issues, Contentions Added, Claim Successfully Created, Successfully Added Unsolicited Evidence, Added Note",10/26/2020 11:27:22 PM,215,VERIFICATION_REQUEST,,,,,,,
538690,REVIEWED,2445508,VBOTPROCESSING,EVD-DC,Evidence Mail,Death Certificate,NULL,10/27/2020 1:58:33 AM,215,NATURAL,,,,,,,
538691,PROCESSED,2444565,PROCESSED,966,966,VA 21-0966 Intent to File,Outcome : Successfully processed ITF and Updated Address,10/26/2020 11:25:59 PM,215,NULL,,,,,,,
538692,PROCESSED,2443961,PROCESSED,EVD-TPC,EVD-TPC,Third Party Correspondence,"Outcome: Added Special Issues, Contentions Added, Claim Successfully Created, Successfully Added Unsolicited Evidence, Added Note",10/26/2020 11:08:49 PM,215,VERIFICATION_REQUEST,,,,,,,
538697,OFF RAMPED,2447302,VBOTPROCESSING,EVD-DC,Evidence Mail,Death Certificate,NULL,10/27/2020 1:11:07 AM,215,OTHER,,,,,,,
538697,OFF RAMPED,2447305,OCRSUCCESS,EVD-FBE,Evidence Mail,Funeral Bill/Expenses,NULL,10/27/2020 1:11:07 AM,215,NULL,,,,,,,
538698,PROCESSED,2445115,PROCESSED,686c,686c,VA 21-686c Declaration of Status of Dependents,"Outcome : Claim Successfully Created, Contentions Added, Successfully Added Unsolicited Evidence, Added Note",10/26/2020 11:56:12 PM,215,NULL,,,,,,,
538701,PROCESSED,2447222,PROCESSED,OMPF,Evidence Mail,"Certificate of Release or Discharge From Active Duty (e.g. DD 214, NOAA 56-16, PHS 1867)",Outcome : Veteran/Claimant Issue - No Open Claim/EP and all documents are not RFA Eligible Documents Type,10/27/2020 3:10:56 AM,215,NULL,,,,,,,
538701,PROCESSED,2447311,PROCESSED,526ez,526ez,"VA 21-526EZ, Fully Developed Claim Compensation","Outcome : Claim Successfully Created, Contentions Added, Successfully Added Unsolicited Evidence, Added Note",10/27/2020 3:10:56 AM,215,NULL,,,,,,,
538702,OFF RAMPED,2447248,OFFRAMPED,OMPF,Evidence Mail,"Certificate of Release or Discharge From Active Duty (e.g. DD 214, NOAA 56-16, PHS 1867)",Outcome : Veteran/Claimant Issue - No Open Claim/EP and all documents are not RFA Eligible Documents Type,10/27/2020 3:52:34 AM,215,NULL,,,,,,,
538702,OFF RAMPED,2447249,OFFRAMPED,PMR,Evidence Mail,Medical Treatment Record - Non-Government Facility,Outcome : Veteran/Claimant Issue - No Open Claim/EP and all documents are not RFA Eligible Documents Type,10/27/2020 3:52:34 AM,215,NULL,,,,,,,
538702,OFF RAMPED,2447251,OFFRAMPED,4138,4138,VA 21-4138 Statement In Support of Claim,Outcome : Business Rule - No open Claim/EP and no keyword identified,10/27/2020 3:52:34 AM,215,UNKNOWN,,,,,,,
538702,OFF RAMPED,2447251,OFFRAMPED,4138,4138,VA 21-4138 Statement In Support of Claim,Outcome : Veteran/Claimant Issue - No Open Claim/EP and all documents are not RFA Eligible Documents Type,10/27/2020 3:52:34 AM,215,UNKNOWN,,,,,,,
538709,OFF RAMPED,2444078,OFFRAMPED,EVD-EVR,Evidence Mail,Eligibility Verification Report,Outcome : Veteran/Claimant Issue - No Open Claim/EP and all documents are not RFA Eligible Documents Type,10/26/2020 10:46:12 PM,215,NULL,,,,,,,
538710,PROCESSED,2443990,PROCESSED,EVD-EVR,Evidence Mail,Eligibility Verification Report,NULL,10/26/2020 10:39:46 PM,215,NULL,,,,,,,
538711,PROCESSED,2445094,PROCESSED,4138,4138,VA 21-4138 Statement In Support of Claim,"Outcome : Business Rule - Open Claim/EP and No Keyword Identified, Successfully Added Unsolicited Evidence, Added Note",10/26/2020 11:46:04 PM,215,UNKNOWN,,,,,,,
538712,OFF RAMPED,2447778,OFFRAMPED,EVD-COR,EVD-COR,Correspondence,NULL,10/27/2020 3:07:36 AM,215,UNKNOWN,,,,,,,
538713,PROCESSED,2447151,PROCESSED,EVD-TPC,EVD-TPC,Third Party Correspondence,NULL,10/27/2020 3:09:14 AM,215,UNKNOWN,,,,,,,
538713,PROCESSED,2447152,OFFRAMPED,EVD-TPROI,Evidence Mail,Third Party Release of Information,Outcome : Veteran/Claimant Issue - No Open Claim/EP and all documents are not RFA Eligible Documents Type,10/27/2020 3:09:14 AM,215,NULL,,,,,,,
538713,PROCESSED,2447241,PROCESSED,21-22,21-22,VA 21-22 Appointment of Veterans Serv. Org. as Claimant's Representative,"Outcome : POA updated, Successfully added unsolicited evidence",10/27/2020 3:09:14 AM,215,NULL,,,,,,,
538714,PARTIALLY PROCESSED,2447212,OCRSUCCESS,EVD-TPROI,Evidence Mail,Third Party Release of Information,NULL,10/27/2020 3:04:53 AM,215,NULL,,,,,,,
538714,PARTIALLY PROCESSED,2447219,PROCESSED,21-22,21-22,VA 21-22 Appointment of Veterans Serv. Org. as Claimant's Representative,"Outcome : POA updated, Successfully added unsolicited evidence",10/27/2020 3:04:53 AM,215,NULL,,,,,,,
538714,PARTIALLY PROCESSED,2447221,READYFOROCR,VA-572,Evidence Mail,VA 572 Request for Change of Address Cancellation,NULL,10/27/2020 3:04:53 AM,215,NULL,,,,,,,
538715,OFF RAMPED,2444713,OFFRAMPED,EVD-TPC,EVD-TPC,Third Party Correspondence,NULL,10/26/2020 11:29:58 PM,215,UNKNOWN,,,,,,,
538716,OFF RAMPED,2445058,OFFRAMPED,EVD-TPC,EVD-TPC,Third Party Correspondence,NULL,10/26/2020 11:32:41 PM,215,UNKNOWN,,,,,,,
538718,OFF RAMPED,2447314,OFFRAMPED,530,530,VA 21-530 Application for Burial Benefits,NULL,10/27/2020 2:24:31 AM,215,NULL,,,,,,,
538720,PROCESSED,2444266,PROCESSED,966,966,VA 21-0966 Intent to File,Outcome : Successfully processed ITF and Updated Address,10/26/2020 11:21:05 PM,215,NULL,,,,,,,
538722,PROCESSED,2444821,PROCESSED,RM,Returned Mail,Returned Mail,NULL,10/27/2020 2:17:20 AM,215,RM-NOTIFICATION,,,,,,,
538723,OFF RAMPED,2445020,OFFRAMPED,EVD-COR,EVD-COR,Correspondence,NULL,10/26/2020 11:36:49 PM,215,UNKNOWN,,,,,,,
538725,PROCESSED,2445778,PROCESSED,EVD-TPC,EVD-TPC,Third Party Correspondence,"Outcome: Added Special Issues, Contentions Added, Claim Successfully Created, Successfully Added Unsolicited Evidence, Added Note",10/27/2020 12:38:39 AM,215,VERIFICATION_REQUEST,,,,,,,
538726,OFF RAMPED,2445576,OFFRAMPED,4138,4138,VA 21-4138 Statement In Support of Claim,Outcome : Veteran/Claimant Issue - No Open Claim/EP and all documents are not RFA Eligible Documents Type,10/27/2020 12:35:44 AM,215,UNKNOWN,,,,,,,
538726,OFF RAMPED,2445576,OFFRAMPED,4138,4138,VA 21-4138 Statement In Support of Claim,Outcome : Business Rule - No open Claim/EP and no keyword identified,10/27/2020 12:35:44 AM,215,UNKNOWN,,,,,,,
538728,OFF RAMPED,2447236,OCRSUCCESS,EVD-TPC,EVD-TPC,Third Party Correspondence,NULL,10/27/2020 2:15:56 AM,215,UNKNOWN,,,,,,,
538729,PROCESSED,2445768,PROCESSED,EVD-21-0538,EVD-21-0538,VA 21-0538 Mandatory Status of Dependents,"Outcome : Claim Successfully Created, Claim Successfully ClearedSuccessfully Added Unsolicited Evidence, Added Note",10/27/2020 2:56:59 AM,215,NULL,,,,,,,
538730,REVIEWED,2446061,HIL_VBMS,674,674,VA 21-674 Report of School Attendance,Outcome : Veteran/Claimant Issue - Failed to find Veteran Profile,10/26/2020 8:42:59 PM,215,NULL,,,,,,,
538731,PROCESSED,2447308,PROCESSED,RM,Returned Mail,Returned Mail,NULL,10/27/2020 2:41:32 AM,215,RM-NONESSENTIAL,,,,,,,
538733,PROCESSED,2445363,PROCESSED,EVD-TPC,EVD-TPC,Third Party Correspondence,"Outcome: Successfully Added Unsolicited Evidence, Added Note",10/27/2020 12:04:59 AM,215,UNKNOWN,,,,,,,
538739,OFF RAMPED,2447122,OFFRAMPED,EVD-COR,EVD-COR,Correspondence,NULL,10/27/2020 2:16:25 AM,215,UNKNOWN,,,,,,,
538740,PROCESSED,2444791,PROCESSED,966,966,VA 21-0966 Intent to File,Outcome : Successfully processed ITF and Updated Address,10/26/2020 11:26:53 PM,215,NULL,,,,,,,
538741,PROCESSED,2447162,PROCESSED,526ez,526ez,"VA 21-526EZ, Fully Developed Claim Compensation","Outcome : Claim Successfully Created, Contentions Added, Successfully Added Unsolicited Evidence, Added Note",10/27/2020 3:04:23 AM,215,NULL,,,,,,,
538743,OFF RAMPED,2447280,OFFRAMPED,OMPF,Evidence Mail,"Certificate of Release or Discharge From Active Duty (e.g. DD 214, NOAA 56-16, PHS 1867)",Outcome : Veteran/Claimant Issue - No Open Claim/EP and all documents are not RFA Eligible Documents Type,10/27/2020 2:36:31 AM,215,NULL,,,,,,,
538743,OFF RAMPED,2447326,OCRSUCCESS,EVD-DC,Evidence Mail,Death Certificate,NULL,10/27/2020 2:36:31 AM,215,UNKNOWN,,,,,,,
538744,PROCESSED,2446261,PROCESSED,OMPF,Evidence Mail,"Certificate of Release or Discharge From Active Duty (e.g. DD 214, NOAA 56-16, PHS 1867)",NULL,10/27/2020 12:54:49 AM,215,NULL,,,,,,,
538744,PROCESSED,2446266,PROCESSED,EVD-DC,Evidence Mail,Death Certificate,NULL,10/27/2020 12:54:49 AM,215,UNKNOWN,,,,,,,
538744,PROCESSED,2446268,PROCESSED,EVD-FBE,Evidence Mail,Funeral Bill/Expenses,NULL,10/27/2020 12:54:49 AM,215,NULL,,,,,,,
538744,PROCESSED,2446279,PROCESSED,530,530,VA 21-530 Application for Burial Benefits,NULL,10/27/2020 12:54:49 AM,215,NULL,,,,,,,
538752,REVIEWED,2447273,HIL_VBMS,EVD-TPC,EVD-TPC,Third Party Correspondence,Outcome : Veteran/Claimant Issue - Failed to find Veteran Profile,10/26/2020 9:52:17 PM,215,VERIFICATION_REQUEST,,,,,,,
538753,PROCESSED,2443912,PROCESSED,EVD-TPC,EVD-TPC,Third Party Correspondence,"Outcome: Added Special Issues, Contentions Added, Claim Successfully Created, Successfully Added Unsolicited Evidence, Added Note",10/26/2020 11:05:35 PM,215,VERIFICATION_REQUEST,,,,,,,
538756,PROCESSED,2445246,PROCESSED,EVD-MCL,Evidence Mail,Marriage Certificate/License,NULL,10/27/2020 12:04:37 AM,215,NULL,,,,,,,
538756,PROCESSED,2445247,PROCESSED,530,530,VA 21-530 Application for Burial Benefits,NULL,10/27/2020 12:04:37 AM,215,NULL,,,,,,,
538757,PROCESSED,2446040,PROCESSED,RM,Returned Mail,Returned Mail,NULL,10/27/2020 2:53:14 AM,215,RM-NOTIFICATION,,,,,,,
538761,PROCESSED,2445515,PROCESSED,RM,Returned Mail,Returned Mail,NULL,10/27/2020 2:50:54 AM,215,RM-NOTIFICATION,,,,,,,
538762,PROCESSED,2445556,PROCESSED,RM,Returned Mail,Returned Mail,NULL,10/27/2020 2:51:02 AM,215,RM-NOTIFICATION,,,,,,,
538763,OFF RAMPED,2447090,OFFRAMPED,EVD-COR,EVD-COR,Correspondence,NULL,10/27/2020 2:14:56 AM,215,UNKNOWN,,,,,,,
538765,PROCESSED,2447059,PROCESSED,EVD-EC,Evidence Mail,Email Correspondence,NULL,10/27/2020 2:20:30 AM,215,NULL,,,,,,,
538765,PROCESSED,2447060,PROCESSED,EVD-FAXCS,Evidence Mail,Fax Cover Sheet,NULL,10/27/2020 2:20:30 AM,215,NULL,,,,,,,
538765,PROCESSED,2447061,PROCESSED,PMR,Evidence Mail,Medical Treatment Record - Non-Government Facility,NULL,10/27/2020 2:20:30 AM,215,NULL,,,,,,,
538765,PROCESSED,2447124,PROCESSED,4138,4138,VA 21-4138 Statement In Support of Claim,"Outcome : Business Rule - Open Claim/EP and No Keyword Identified, Successfully Added Unsolicited Evidence, Added Note",10/27/2020 2:20:30 AM,215,UNKNOWN,,,,,,,
539649,PROCESSED,2448332,PROCESSED,PMR,Evidence Mail,Medical Treatment Record - Government Facility,NULL,10/27/2020 3:57:37 AM,215,NULL,,,,,,,
539649,PROCESSED,2448334,PROCESSED,EVD-TPC,EVD-TPC,Third Party Correspondence,NULL,10/27/2020 3:57:37 AM,215,MEDICAL_EVIDENCE,,,,,,,
539649,PROCESSED,2448335,PROCESSED,781,Evidence Mail,"VA 21-0781, Statement in Support of Claim for PTSD",NULL,10/27/2020 3:57:37 AM,215,NULL,,,,,,,
539649,PROCESSED,2448337,PROCESSED,526ez,526ez,"VA 21-526EZ, Fully Developed Claim Compensation","Outcome : Claim Successfully Created, Contentions Added, Successfully Added Unsolicited Evidence, Added Note",10/27/2020 3:57:37 AM,215,NULL,,,,,,,
539905,OFF RAMPED,2449410,OFFRAMPED,EVD-COR,EVD-COR,Correspondence,NULL,10/27/2020 3:59:16 AM,215,UNKNOWN,,,,,,,
539905,OFF RAMPED,2449411,VBOTPROCESSING,EVD-COR,EVD-COR,Correspondence,NULL,10/27/2020 3:59:16 AM,215,UNKNOWN,,,,,,,
539905,OFF RAMPED,2449412,OCRSUCCESS,EVD-IDMAT,Evidence Mail,Identification Materials,NULL,10/27/2020 3:59:16 AM,215,NULL,,,,,,,
540056,REVIEWED,2450280,OCRSUCCESS,PMR,Evidence Mail,Medical Treatment Record - Non-Government Facility,NULL,10/27/2020 2:05:18 AM,215,NULL,,,,,,,
540056,REVIEWED,2450282,OCRSUCCESS,PMR,Evidence Mail,Medical Treatment Record - Non-Government Facility,NULL,10/27/2020 2:05:18 AM,215,NULL,,,,,,,
540056,REVIEWED,2450286,OCRSUCCESS,966,966,VA 21-0966 Intent to File,NULL,10/27/2020 2:05:18 AM,215,NULL,,,,,,,
540056,REVIEWED,2450288,VBOTPROCESSING,21-22,21-22,VA 21-22 Appointment of Veterans Serv. Org. as Claimant's Representative,NULL,10/27/2020 2:05:18 AM,215,NULL,,,,,,,
10338183,OFF RAMPED,2310086,READYFOROCR,AFA,Evidence Mail,Agent Fee Agreement,NULL,10/26/2020 1:42:15 PM,210,NULL,,,,,,,
10338183,OFF RAMPED,2310091,OCRSUCCESS,EVD-COR,EVD-COR,Correspondence,NULL,10/26/2020 1:42:15 PM,210,BVA_APPEALS_REMAND,,,,,,,
10338183,OFF RAMPED,2310097,OFFRAMPED,POA2122,POA2122,"Power of Attorney incl. VA 21-22, VA 22a",NULL,10/26/2020 1:42:15 PM,210,NULL,,,,,,,
10338183,OFF RAMPED,2310102,OFFRAMPED,21-22,21-22,VA 21-22 Appointment of Veterans Serv. Org. as Claimant's Representative,NULL,10/26/2020 1:42:15 PM,210,NULL,,,,,,,
10338183,OFF RAMPED,2310106,OCRSUCCESS,4138,4138,VA 21-4138 Statement In Support of Claim,NULL,10/26/2020 1:42:15 PM,210,PAYMENT_ISSUE,,,,,,,
10338183,OFF RAMPED,2310111,OFFRAMPED,526ez,526ez,"VA 21-526EZ, Fully Developed Claim Compensation",NULL,10/26/2020 1:42:15 PM,210,NULL,,,,,,,
10342249,OFF RAMPED,2314578,OCRSUCCESS,EVD-CES,Evidence Mail,Care Expense Statement,NULL,10/26/2020 1:42:11 PM,210,NULL,,,,,,,
10342249,OFF RAMPED,2314579,OCRSUCCESS,EVD-COR,EVD-COR,Correspondence,NULL,10/26/2020 1:42:11 PM,210,UNKNOWN,,,,,,,
10342249,OFF RAMPED,2314580,OCRSUCCESS,EVD-PBS,Evidence Mail,Pension Bank Statement,NULL,10/26/2020 1:42:11 PM,210,NULL,,,,,,,
10342249,OFF RAMPED,2314581,OFFRAMPED,POA2122,POA2122,"Power of Attorney incl. VA 21-22, VA 22a",NULL,10/26/2020 1:42:11 PM,210,NULL,,,,,,,
10342249,OFF RAMPED,2314582,OCRSUCCESS,EVD-TPC,EVD-TPC,Third Party Correspondence,NULL,10/26/2020 1:42:11 PM,210,UNKNOWN,,,,,,,
10342249,OFF RAMPED,2314583,PROCESSED,21-22,21-22,VA 21-22 Appointment of Veterans Serv. Org. as Claimant's Representative,NULL,10/26/2020 1:42:11 PM,210,NULL,,,,,,,
10342249,OFF RAMPED,2314584,OCRSUCCESS,4138,4138,VA 21-4138 Statement In Support of Claim,NULL,10/26/2020 1:42:11 PM,210,UNKNOWN,,,,,,,
10342249,OFF RAMPED,2314585,OCRSUCCESS,8416,Evidence Mail,VA 21-8416 Request for Information concerning Medical,NULL,10/26/2020 1:42:11 PM,210,NULL,,,,,,,
10342249,OFF RAMPED,2314586,READYFOROCR,EVD-21-0972,Evidence Mail,VA Form 21-0972 Notice of VeteranClaimant of VA Fo,NULL,10/26/2020 1:42:11 PM,210,NULL,,,,,,,
10342611,OFF RAMPED,2314639,OCRSUCCESS,EVD-DC,Evidence Mail,Death Certificate,NULL,10/26/2020 1:42:22 PM,210,NATURAL,,,,,,,
10342611,OFF RAMPED,2314641,OCRSUCCESS,EVD-MCL,Evidence Mail,Marriage Certificate/License,NULL,10/26/2020 1:42:22 PM,210,NULL,,,,,,,
